Country,Grouping1,Grouping2
American Samoa (AS0000),North America,East Asia and Pacific
Armenia (AM0000),Europe and Central Asia,Europe and Central Asia
Austria (AT0000),Europe and Central Asia,Europe and Central Asia
Azerbaijan (AZ0000),Europe and Central Asia,Europe and Central Asia
Belarus (BY0000),Europe and Central Asia,Europe and Central Asia
belgium (BE0000),Europe and Central Asia,Europe and Central Asia
Brazil (BR0000),Latin America and the Caribbean,Latin America and the Caribbean
British Virgin Islands (VG0000),Europe and Central Asia,Latin America and the Caribbean
France (FR0000),Europe and Central Asia,Europe and Central Asia
Georgia (GG0000),Georgia,Georgia
Germany (DE0000),Europe and Central Asia,Europe and Central Asia
Israel (IL0000),Middle East and North Africa,Middle East and North Africa
Italy (IT0000),Europe and Central Asia,Europe and Central Asia
Russia (RU0000),Europe and Central Asia,Europe and Central Asia
Spain (ES0000),Europe and Central Asia,Europe and Central Asia
Turkey (TR0000),Europe and Central Asia,Europe and Central Asia
UK (UK0000),Europe and Central Asia,Europe and Central Asia
United Arab Emirates (AE0000),Middle East and North Africa,Middle East and North Africa
USA (US0000),North America,North America
Missing,Missing,Missing
